"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.863991668E-2,-1.021562204E-1,-6.688236211E-2,1.063479888E-1,1.619229399E-1
3.862191667E-2,-9.814595327E-2,-6.231205502E-2,2.069721383E-1,2.373876289E-1
4.860291668E-2,-5.255451390E-2,-4.384438726E-3,-3.179774344E-2,6.158162650E-2
5.858491667E-2,1.114180456E-1,-9.451823104E-2,-2.632527584E-1,3.010808723E-1
6.856691669E-2,6.244218755E-2,-2.439559600E-1,-4.606670380E-2,2.559993719E-1
7.854791667E-2,1.198306220E-2,-3.392205150E-1,8.058398724E-2,3.488666373E-1
8.852991668E-2,5.521685169E-2,-2.354881685E-1,-5.561637640E-2,2.481869447E-1
9.851091666E-2,6.572042900E-2,-9.928754903E-2,-9.633053899E-2,1.531560150E-1
1.084929167E-1,-8.936856994E-3,4.926914158E-3,5.139761031E-2,5.240091833E-2
1.184739167E-1,-3.036973004E-2,1.244408090E-1,8.266559601E-2,1.524514224E-1
1.284559167E-1,1.385243989E-2,1.494934054E-1,-5.505270481E-2,1.599092513E-1
1.384379167E-1,4.371247316E-2,8.405445591E-2,-1.554856503E-1,1.820761360E-1
1.484189167E-1,2.597004287E-2,-4.286634908E-2,-6.012925744E-2,7.827831507E-2
1.584009167E-1,-6.229028556E-3,-3.225801067E-2,5.751906037E-2,6.624063976E-2
1.683819167E-1,-2.368262581E-2,9.886358022E-3,7.322409689E-2,7.759107685E-2
1.783639167E-1,-2.014752485E-2,7.244118213E-2,7.501042128E-2,1.062083374E-1
1.883449167E-1,1.312023830E-2,7.097873867E-2,-4.938499868E-2,8.745856214E-2
1.983269167E-1,5.442533055E-2,-1.849949397E-2,-1.243708616E-1,1.370126239E-1
2.083089167E-1,-4.673219231E-3,-2.462669075E-2,4.330038607E-2,5.003235263E-2
2.182899167E-1,-4.995782482E-2,-5.099509803E-2,2.115715581E-1,2.232908607E-1
2.282719167E-1,4.721216421E-2,-7.760739815E-3,-9.349288523E-2,1.050244596E-1
2.382529167E-1,8.082927793E-2,2.800614386E-2,-2.412496859E-1,2.559670432E-1
2.482349167E-1,-2.703882139E-3,1.278675057E-2,6.784524322E-2,6.909261173E-2
