"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-4.247500037E-4,-2.380050659E-2,3.492237854E-1,9.468260651E0,9.474728675E0
9.557249985E-3,1.037342834E-1,2.225871277E-1,9.885742493E0,9.888792164E0
1.953825000E-2,-3.231779480E-1,-4.790039062E-3,9.802665253E0,9.807992302E0
2.951925001E-2,-5.239105225E-3,1.493893433E-1,9.843530273E0,9.844665198E0
3.950024999E-2,-9.819580078E-2,2.062710571E-1,9.753567352E0,9.756242425E0
4.948125000E-2,-1.212478638E-1,1.080752563E-1,9.828411713E0,9.829753715E0
5.946324999E-2,-1.052311707E-1,1.233435059E-1,9.836045837E0,9.837382016E0
6.944425000E-2,-8.128097534E-2,1.686991882E-1,9.678722992E0,9.680534322E0
7.942525001E-2,-8.547225952E-2,1.683998108E-1,9.862989807E0,9.864797613E0
8.940624999E-2,-1.462458801E-1,9.101074219E-2,9.827663269E0,9.829172709E0
9.938825000E-2,-7.469467163E-2,1.529818726E-1,9.790839844E0,9.792319827E0
1.093692500E-1,-1.059796143E-1,1.652563477E-1,9.793534241E0,9.795501736E0
1.193502500E-1,-1.055305481E-1,1.080752563E-1,9.823621674E0,9.824782936E0
1.293312500E-1,-1.034349060E-1,1.499880981E-1,9.806108093E0,9.807800525E0
1.393122500E-1,-1.019380188E-1,1.495390320E-1,9.803264008E0,9.804934395E0
1.492942500E-1,-1.035845947E-1,1.258882141E-1,9.814939728E0,9.816293571E0
1.592752500E-1,-1.086740112E-1,1.416055298E-1,9.792935486E0,9.794562144E0
1.692562500E-1,-9.400451660E-2,1.419049072E-1,9.788444824E0,9.789924715E0
1.792372500E-1,-1.050814819E-1,1.315763855E-1,9.815239105E0,9.816683409E0
1.892192500E-1,-9.160949707E-2,1.404080200E-1,9.800120544E0,9.801554438E0
1.992002500E-1,-9.580078125E-2,1.428030396E-1,9.796528015E0,9.798037132E0
2.091812500E-1,-1.043330383E-1,1.374142456E-1,9.811796265E0,9.813313100E0
2.191622500E-1,-9.400451660E-2,1.380130005E-1,9.799671478E0,9.801094098E0
2.291432500E-1,-9.714797974E-2,1.323248291E-1,9.811646576E0,9.813019725E0
2.391252500E-1,-1.023870850E-1,1.365161133E-1,9.808652802E0,9.810137081E0
2.491062500E-1,-9.774673462E-2,1.435514832E-1,9.795779572E0,9.797318963E0
2.590872500E-1,-1.005908203E-1,1.383123779E-1,9.791588287E0,9.793081743E0
2.690682500E-1,-9.265731812E-2,1.350192261E-1,9.812245331E0,9.813611670E0
2.790502500E-1,-9.116043091E-2,1.393601990E-1,9.798324280E0,9.799739291E0
2.890312500E-1,-1.001417542E-1,1.348695374E-1,9.801916809E0,9.803356124E0
2.990122500E-1,-1.020877075E-1,1.305285645E-1,9.811646576E0,9.813045813E0
3.089932500E-1,-9.804611206E-2,1.420545959E-1,9.802814941E0,9.804334415E0
3.189742500E-1,-1.014889526E-1,1.486408997E-1,9.807006226E0,9.808657667E0
3.289562500E-1,-9.969268799E-2,1.422042847E-1,9.799671478E0,9.801210220E0
3.389372500E-1,-8.906478882E-2,1.353186035E-1,9.808952179E0,9.810289828E0
3.489182500E-1,-9.879455566E-2,1.393601990E-1,9.807006226E0,9.808493908E0
3.588992500E-1,-9.400451660E-2,1.381626892E-1,9.802365875E0,9.803790212E0
3.688812500E-1,-9.954299927E-2,1.460961914E-1,9.798923035E0,9.800517616E0
3.788622500E-1,-1.025367737E-1,1.423539734E-1,9.810748444E0,9.812316927E0
3.888432500E-1,-1.004411316E-1,1.332229614E-1,9.798324280E0,9.799744664E0
3.988242500E-1,-1.046324158E-1,1.384620667E-1,9.800719299E0,9.802255785E0
4.088052500E-1,-9.864486694E-2,1.383123779E-1,9.811796265E0,9.813266890E0
4.187872500E-1,-9.430389404E-2,1.381626892E-1,9.801467743E0,9.802895086E0
4.287682500E-1,-9.535171509E-2,1.336720276E-1,9.806407471E0,9.807781994E0
4.387492500E-1,-9.385482788E-2,1.416055298E-1,9.809850311E0,9.811321215E0
4.487302500E-1,-9.116043091E-2,1.348695374E-1,9.811945953E0,9.813296256E0
4.587122500E-1,-9.909393311E-2,1.363664246E-1,9.809700623E0,9.811148848E0
4.686932500E-1,-9.939331055E-2,1.377136230E-1,9.811945953E0,9.813415688E0
4.786742500E-1,-9.984237671E-2,1.371148682E-1,9.805060272E0,9.806527210E0
4.886552500E-1,-1.007405090E-1,1.389111328E-1,9.816137238E0,9.817636947E0
4.986362500E-1,-1.010398865E-1,1.451980591E-1,9.809850311E0,9.811445085E0
5.086182500E-1,-1.007405090E-1,1.459465027E-1,9.798024902E0,9.799629637E0
5.185992500E-1,-9.819580078E-2,1.381626892E-1,9.803114319E0,9.804579629E0
5.285802500E-1,-9.370513916E-2,1.384620667E-1,9.805958405E0,9.807383577E0
5.385612500E-1,-9.131011963E-2,1.429527283E-1,9.809850311E0,9.811316739E0
5.485432500E-1,-9.939331055E-2,1.463955688E-1,9.804760895E0,9.806357473E0
5.585242500E-1,-9.430389404E-2,1.300794983E-1,9.818532257E0,9.819846719E0
5.685052500E-1,-9.505233765E-2,1.354682922E-1,9.813891907E0,9.815287105E0
5.784862500E-1,-9.654922485E-2,1.396595764E-1,9.801617432E0,9.803087821E0
5.884672500E-1,-9.610015869E-2,1.314266968E-1,9.811197510E0,9.812548333E0
5.984492500E-1,-9.475296021E-2,1.472937012E-1,9.806257782E0,9.807821636E0
6.084302500E-1,-9.535171509E-2,1.462458801E-1,9.811646576E0,9.813199699E0
6.184112500E-1,-1.020877075E-1,1.377136230E-1,9.799671478E0,9.801170748E0
6.283922500E-1,-9.999206543E-2,1.372645569E-1,9.793833618E0,9.795305861E0
6.383742500E-1,-9.535171509E-2,1.411564636E-1,9.803862762E0,9.805342532E0
6.483552500E-1,-9.759704590E-2,1.393601990E-1,9.806706848E0,9.808182587E0
6.583362500E-1,-9.265731812E-2,1.390608215E-1,9.799671478E0,9.801096080E0
6.683172500E-1,-9.834548950E-2,1.369651794E-1,9.801617432E0,9.803067661E0
6.782982500E-1,-1.064286804E-1,1.353186035E-1,9.800868988E0,9.802380890E0
6.882802500E-1,-9.595046997E-2,1.368154907E-1,9.804760895E0,9.806184843E0
6.982612500E-1,-9.175918579E-2,1.414558411E-1,9.805808716E0,9.807258234E0
7.082422500E-1,-9.610015869E-2,1.357676697E-1,9.809550934E0,9.810961096E0
7.182232500E-1,-9.624984741E-2,1.320254517E-1,9.814790039E0,9.816149870E0
7.282052500E-1,-9.116043091E-2,1.384620667E-1,9.796078949E0,9.797481551E0
7.381862500E-1,-9.610015869E-2,1.365161133E-1,9.804012451E0,9.805433801E0
7.481672500E-1,-9.924362183E-2,1.399589539E-1,9.807904358E0,9.809404962E0
